Bacteria,
Bacteria.FCB group,
Bacteria.FCB group.Bacteroidetes/Chlorobi group,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.Bacteroides caccae,0.051954,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.Bacteroides coprocola,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.Bacteroides coprocola.Bacteroides coprocola DSM 17136,0.038177,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.Bacteroides dorei,0.016018,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.Bacteroides fragilis,0.037252,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.Bacteroides ovatus,0.039014,
Bacteria.FCB group.Bacteroidetes/Chlorobi group.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides.Bacteroides uniformis,0.016431,
